,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Sn,0.0015521923516684914,0.017989754280787223,0.019368648298911797,0.02312430007724826,0.024690511340278436,0.025193265388867143,0.02328291081009258,0.02509225677862432,0.022939649233067773,0.023688483967768823,0.024820350691098614,0.021196938757984295,0.01861572588870292,0.022372009388278685,0.021097953983900387,0.021527406970924194,0.020317629069295705,0.025469137634770798,0.02508193469961722,0.023171239251386037,0.022871451990593275,0.022332209317376367,0.018638210148154085,0.01946306603179229,0.023298949809540927,0.020568743113968183,0.018920406119764484,0.01890006469569317,0.021808193524358633,0.025400124731426887,0.018526011607753908,0.020544818711823776,0.020212113406056262,0.022341776434227866,0.021140002898592913,0.02646016207505006,0.0243418208773566,0.020161669863755637,0.021476324811625796,0.023217207207797245,0.020413226796535535,0.01857154007275113,0.020921573729636444,0.023328987195033637,0.020425775710693053,0.021145430032431134,0.018458571266949927,0.016062304376356334,0.019484942067321924,0.02209974206977989,0.019449040092590353
entanglement,0.001652176407257279,0.00453941502945239,0.006028031581781727,0.006402990119308428,0.008670812143105923,0.007868687138503925,0.011743780030361027,0.010385418449412692,0.013405452991359671,0.01309820927733846,0.013922553467147507,0.014146362311684748,0.012492915154307066,0.013218310844335874,0.01353299281644516,0.013685480510384193,0.013154674018769833,0.013443480823118853,0.012962561821801034,0.013025930215278758,0.013492456165022045,0.014373888372006456,0.013501789588914351,0.014813773304209897,0.013953095085511286,0.014962360844462334,0.014943275843391748,0.014415960716221707,0.015993082961165476,0.013927031783375498,0.015439036645998362,0.015861590031083776,0.01711440215908948,0.01745893394288392,0.017200641527731382,0.015574220630986653,0.01733370300529604,0.016544894024995205,0.016075459526741512,0.01564629180831794,0.01602425826529372,0.015441124507847596,0.01571294217274849,0.016001011495309744,0.0163726140778629,0.01575264606678605,0.016003302605377964,0.016572899130784406,0.016414646296122864,0.016143022414592274,0.016685142355583306
strongly entanglement,0.0016563294168148405,0.0031550415566524593,0.003634729211474377,0.004037019865720421,0.005155130767781139,0.005251301356808472,0.006517241379310344,0.007152011950300701,0.006863185569253747,0.006912854294617575,0.007165779425026497,0.007788499301114191,0.008574165647709773,0.009096515704674242,0.009130199866938964,0.009309748810211533,0.009889072961482358,0.009488329955137586,0.009521627064357314,0.010009144979519128,0.009915810222911697,0.009922150400450679,0.010265442530394275,0.010265880106379957,0.010559865889522629,0.010999129188798416,0.01154938502079517,0.011804038084531511,0.011788425278115806,0.01224741635174151,0.012113786505075679,0.011502669332393205,0.011407280150327766,0.011309900935126392,0.011047818808977131,0.010699544307191609,0.010760020539640067,0.011188791741832207,0.010933862355848771,0.010775970880676689,0.010154728441010228,0.01007932600866783,0.010002041012482329,0.010168848001566044,0.010321403876855427,0.010055369238464867,0.010066130918907007,0.010300806721040879,0.010208947966160354,0.010485908984165565,0.010501527108372112
Cn,0.0017229497821785484,0.027275220262634285,0.03176575647532621,0.03286340169289203,0.030028303907142367,0.034422360898773666,0.028710722536798298,0.032456947306519525,0.03390578796300114,0.04030056844696979,0.029939210441143577,0.03379048586312278,0.029621998731103088,0.027510230624402172,0.026017730775467637,0.030466156346359297,0.025622814121683327,0.030083736134536087,0.02721553893493736,0.025618273633912798,0.023802363681891463,0.02506521023589548,0.028169775759660995,0.028977376244130913,0.027011848860474984,0.02577359323168581,0.028486283677853372,0.02569165823145701,0.028431542739346824,0.025089297514717415,0.03154782129411376,0.03170325816296658,0.03186484910993693,0.028060221086060592,0.03494922803293039,0.0324975298104926,0.028085521866476906,0.029581964346747393,0.027244795847638403,0.027270220921998926,0.03128726553315601,0.02520642482694601,0.02768306749957015,0.027415923192504237,0.03162742421086952,0.026646268952613093,0.02736806470654214,0.03726079563384296,0.025381059409994734,0.02387786556620768,0.024577145240503622
Cn2,0.0014649649624234387,0.023256941366116106,0.03107987527505902,0.02720948712712592,0.025966249932420228,0.02837310630826539,0.020402739189031523,0.017032745347046647,0.015524174696260027,0.01824171247405231,0.01790655933510293,0.018804432593491495,0.019262118212820097,0.01752799696955034,0.0189649912849397,0.021322520669466556,0.020331838830608722,0.01889041556551396,0.01978620035282587,0.020579579466772344,0.017937299966361564,0.01993611477233255,0.0188449669259027,0.021645997641568698,0.02109628819510781,0.020300933231700197,0.019593436688418057,0.02214833667671796,0.01862673379981439,0.02152596161347639,0.02146533182458503,0.021813236371860664,0.02041129476272562,0.020491077686743794,0.01885390004311515,0.023128221978125942,0.021844793566094943,0.01912465799089217,0.02240748511294977,0.024104969284224793,0.02239860670317154,0.022308876167853865,0.023299686969319538,0.022353824876070728,0.023953562441796812,0.022663102118825277,0.022305725329636178,0.023502697719744742,0.025671504812420445,0.022471296704565616,0.02372720063987285
