,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Sn,0.5312528735632184,0.8155747126436782,0.8467586206896549,0.875609195402299,0.8877126436781609,0.8961609195402297,0.9079655172413792,0.8914367816091955,0.9032298850574715,0.907367816091954,0.91016091954023,0.9108045977011495,0.905896551724138,0.907448275862069,0.9142183908045977,0.9095287356321837,0.9114022988505749,0.9102413793103451,0.9070804597701148,0.9102873563218392,0.9199655172413793,0.9107011494252877,0.9128850574712645,0.9108850574712644,0.9070000000000001,0.9128160919540227,0.9181149425287358,0.9185057471264367,0.9040114942528735,0.9229770114942528,0.9201839080459773,0.9250229885057472,0.9130459770114943,0.9163908045977011,0.9207701149425289,0.9177586206896552,0.9184022988505748,0.9194827586206898,0.9165172413793103,0.9128275862068966,0.9295517241379309,0.9191379310344827,0.9157586206896551,0.9238505747126435,0.9258735632183908,0.9237816091954023,0.9190114942528737,0.9254712643678162,0.9155862068965518,0.9184252873563218,0.9172183908045979
entanglement,0.494609195402299,0.49240229885057474,0.4950344827586208,0.49965517241379315,0.5005977011494251,0.5018505747126436,0.5046781609195403,0.5044712643678161,0.5048160919540229,0.5026551724137931,0.5023793103448277,0.5030459770114942,0.5045977011494254,0.5046436781609196,0.5065287356321839,0.5086896551724138,0.5091034482758621,0.5102183908045977,0.5099080459770114,0.5105172413793103,0.5104597701149425,0.5113103448275863,0.5113563218390805,0.5106436781609196,0.511712643678161,0.5124252873563218,0.5104482758620691,0.5102643678160919,0.509896551724138,0.509896551724138,0.5096436781609194,0.5089999999999999,0.5094367816091955,0.509896551724138,0.5090344827586207,0.5098045977011495,0.5085287356321838,0.5078735632183907,0.5093563218390804,0.5088045977011494,0.5088735632183907,0.5080919540229886,0.5085632183908045,0.5076436781609196,0.5086206896551725,0.5090344827586207,0.5080459770114942,0.5092183908045977,0.5086781609195402,0.5101149425287356,0.5099655172413793
strongly entanglement,0.48370114942528736,0.48614942528735633,0.488367816091954,0.4906436781609195,0.49324137931034484,0.49532183908045974,0.4967471264367817,0.498080459770115,0.4994482758620689,0.5007356321839079,0.5020000000000001,0.5037241379310344,0.5054252873563219,0.5065862068965516,0.5074022988505748,0.5087701149425288,0.5096666666666667,0.5105632183908045,0.5114712643678161,0.5125747126436782,0.5138620689655172,0.5152643678160919,0.5168045977011494,0.5173218390804598,0.5182873563218392,0.5191724137931034,0.5198045977011495,0.5211379310344826,0.5222413793103448,0.522896551724138,0.5235287356321838,0.5243333333333334,0.5246436781609195,0.525287356321839,0.5264827586206896,0.5273103448275862,0.5279885057471264,0.5285977011494255,0.5297701149425287,0.5302068965517243,0.5303908045977012,0.5313448275862068,0.5318390804597701,0.5319655172413794,0.5319770114942528,0.5324597701149425,0.5325172413793102,0.5329080459770116,0.533367816091954,0.534264367816092,0.5343908045977012
Cn,0.5653908045977011,0.6673218390804598,0.7000689655172413,0.7201724137931035,0.7328965517241379,0.7463103448275863,0.758022988505747,0.7587356321839082,0.7661954022988506,0.7680804597701149,0.7798160919540229,0.776103448275862,0.7788275862068965,0.7769425287356323,0.7777011494252873,0.7774482758620689,0.7825517241379311,0.785448275862069,0.7858160919540231,0.7868160919540232,0.7902298850574714,0.7853103448275861,0.7838160919540228,0.7889310344827585,0.7883448275862069,0.7893678160919537,0.7908850574712645,0.7879885057471263,0.7915862068965518,0.7934137931034485,0.7915747126436782,0.7947701149425286,0.7912298850574715,0.7943218390804597,0.7940919540229885,0.7942413793103449,0.7934367816091953,0.7955977011494253,0.7982528735632183,0.7924482758620689,0.7949540229885057,0.7947126436781609,0.7945747126436783,0.7958160919540231,0.79483908045977,0.798551724137931,0.8006666666666667,0.7941034482758622,0.7926551724137931,0.8000689655172415,0.7973678160919542
Cn2,0.5316551724137932,0.6218505747126437,0.6753218390804598,0.7047586206896551,0.7207356321839081,0.7334252873563218,0.738551724137931,0.7483448275862071,0.7556091954022988,0.7581149425287355,0.7642758620689656,0.766712643678161,0.7703448275862069,0.7755287356321838,0.7739885057471263,0.7745632183908046,0.7801954022988508,0.7812298850574712,0.7827241379310343,0.7814482758620689,0.7823333333333333,0.7875632183908047,0.785206896551724,0.7855402298850575,0.789574712643678,0.7892758620689657,0.7948390804597703,0.7929195402298851,0.7948735632183909,0.7973103448275863,0.7998620689655171,0.797103448275862,0.798402298850575,0.7982528735632185,0.8007701149425288,0.7997816091954026,0.8018850574712643,0.8027011494252873,0.8039540229885057,0.8048045977011495,0.8050114942528734,0.803735632183908,0.8038620689655172,0.8054022988505747,0.8054252873563218,0.8065977011494251,0.8028620689655172,0.8044597701149424,0.8086436781609195,0.8041839080459768,0.8077471264367818
