,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Sn,0.001750790169456628,0.022437149634253212,0.023753256655540008,0.02423337452244621,0.022069986207239448,0.023676657133365888,0.0237696285994845,0.018763888149332074,0.023944791059703416,0.025186989953961212,0.02491658431380774,0.020833738402720788,0.02461762272021342,0.02459935540682919,0.019210473125660356,0.028281178829174778,0.02297327081382452,0.021372106684043796,0.021249976490781485,0.026082688617698354,0.018627570745041892,0.016843708908449315,0.02378826093205404,0.02053963811869065,0.019660041744088703,0.01941198279330999,0.02700484144044196,0.02117988810624107,0.023192611157724002,0.02397712169776638,0.02715337888621902,0.02249298124551607,0.02447088644206967,0.022954330919604395,0.025661395137887125,0.01713066367649232,0.021795710111338372,0.02545318925872255,0.023532932597397145,0.022735530490341237,0.02633232737885025,0.0242047897261338,0.023862082807339896,0.02222740063854788,0.026773478120418973,0.022518074535876204,0.020585115844195107,0.022534508408877104,0.024417486245763096,0.022205206856065914,0.024765151381505236
entanglement,0.0016617446147006896,0.005521358617013757,0.007577807959478516,0.00844085216093736,0.010241218054124769,0.010254580807295813,0.011519334703194795,0.011794811778308212,0.012427094831692267,0.014171793854308484,0.012886082787550688,0.014470734837344155,0.013755677193082714,0.015316090875762831,0.015511557068689267,0.0165310415158141,0.017535046913546376,0.015440700968537304,0.0181526825493174,0.0179956689494455,0.01772957860351037,0.017870088733513294,0.015766981358187278,0.017462111940290796,0.0160335392957717,0.01733962811398196,0.017244218157092126,0.017267493633183827,0.016623392095206017,0.017560303212360205,0.01728705062092143,0.01710042381490081,0.016057553542273506,0.01766835669718363,0.01662082081314206,0.016212699702869867,0.016113942284533195,0.014891695142767617,0.0178698632382803,0.01609415420098568,0.01655905010286387,0.016707441205155514,0.01535411918954224,0.01547367660653438,0.01777081380315257,0.015920515344217727,0.01644202151025349,0.015707122607943,0.016149421196874358,0.016117324007874002,0.01691827909467842
strongly entanglement,0.0016909057847309438,0.0026812916435537087,0.0028347726637176713,0.0029589386177187316,0.0034609918795907614,0.0040442786404044015,0.004092163884583603,0.004608048700767294,0.005228609166078492,0.0055168103279890045,0.0059689268930623735,0.005980999995482677,0.0056845908031060675,0.005842699575315173,0.006190741001248313,0.007414292061976515,0.007399799678063299,0.007688280549952047,0.007874100157880926,0.007759429502328884,0.007928002085621952,0.008271590532374185,0.008766197284092038,0.00932849798307108,0.009405530175705912,0.009767382985179715,0.01051919459282671,0.010601446716361488,0.010690248407713852,0.011435025568414664,0.011419671831669715,0.011569871946035887,0.012072407828741492,0.012044688226222568,0.012436675377199436,0.012258845668864708,0.012082450047670196,0.011973988631702754,0.012271448687909135,0.012575789527109202,0.01241600661406294,0.012442649517610793,0.012709733407604453,0.012693449582630313,0.013143521100338689,0.013652255000086828,0.013377927803118706,0.013151660649158525,0.012916185599572147,0.013450952675928872,0.013472421589305457
Cn,0.002160674967817786,0.013224406427262246,0.018971145107168304,0.022686315537568055,0.02771574232880242,0.028769855482594364,0.03351065794732905,0.025244048599517618,0.026525079928999138,0.026483676548587225,0.02991709379252744,0.026040142999421253,0.02921764923048547,0.02943771289374992,0.026734181773448495,0.029601727211946694,0.02969423827994292,0.0326604315921004,0.031730902577126546,0.025134073042224998,0.029129868072114522,0.028562432052822398,0.026249081293022523,0.02731593899514864,0.024274969506405706,0.027040534645942804,0.025824790501872103,0.028422126609644556,0.024084091570419686,0.029098454293616897,0.02857071989193391,0.02826211234707931,0.024821455181687154,0.027541153343564325,0.02566257926696717,0.026629544613464905,0.029650024056355764,0.024234083258623917,0.029241560037032776,0.028716455670312592,0.030539786464104293,0.027501152403819666,0.025830591316255046,0.030792039385579104,0.03049762341052253,0.025734695274871124,0.02755275989594276,0.026759055176786187,0.029137350648281293,0.031219670974039895,0.03472890880259707
Cn2,0.00166662703084063,0.02127958759460792,0.01834105699733871,0.017941306371139155,0.019458520847123337,0.023230894550571323,0.022748055715657276,0.022438818920128605,0.02297479188648957,0.02620703770883542,0.023441739003190964,0.023982810266270617,0.027189982553781408,0.027865160482482294,0.027298780399183854,0.027874852440856985,0.025040867640450288,0.023701832269949798,0.026685427407782986,0.022314143351834632,0.02383457155954084,0.023190004840047733,0.026828691779561695,0.024760554999733637,0.02252891449612318,0.02007174672306153,0.02223530761521034,0.024062004284863363,0.022238881323383242,0.022406627206988806,0.024527227436423805,0.019976786634185468,0.022060295231708337,0.02401043504153701,0.022751119163097685,0.021876039506849004,0.022467266011098816,0.01990313443169452,0.020114288987741077,0.02240886771700667,0.023297432888158023,0.021923502887566667,0.02224640116759336,0.027912344155749298,0.020771625615348163,0.024039657638667212,0.026060006265204074,0.02258128986283706,0.02161327914457128,0.022135379593007123,0.022749214357081587
