,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Sn,0.4818045977011495,0.5223103448275863,0.5248275862068966,0.5230344827586207,0.5232528735632184,0.5183563218390804,0.5247241379310345,0.5266666666666667,0.5255287356321838,0.5236551724137933,0.5258505747126437,0.5245287356321839,0.5221034482758621,0.5234252873563219,0.5229080459770115,0.5244597701149425,0.5263218390804598,0.5232068965517241,0.5265632183908046,0.5218045977011495,0.5212643678160919,0.5279885057471264,0.5254942528735632,0.5243103448275862,0.5211379310344826,0.5240114942528736,0.5264367816091954,0.5256321839080459,0.5257011494252873,0.5245057471264367,0.521137931034483,0.522206896551724,0.5261264367816091,0.5187586206896552,0.5224942528735631,0.5227356321839081,0.5209425287356323,0.519551724137931,0.5205057471264367,0.520816091954023,0.5195402298850574,0.5242988505747127,0.5271609195402299,0.5195402298850574,0.5277701149425287,0.5220114942528735,0.5230229885057471,0.5199885057471264,0.5261724137931034,0.5197471264367816,0.5255862068965517
entanglement,0.46065517241379317,0.47004597701149425,0.4744597701149426,0.47859770114942535,0.481816091954023,0.48619540229885055,0.4889770114942528,0.49260919540229886,0.4961264367816093,0.4997471264367816,0.5014137931034482,0.5044252873563219,0.505080459770115,0.5064137931034481,0.5091379310344827,0.5118735632183907,0.512183908045977,0.5137356321839082,0.5148045977011493,0.51583908045977,0.5175402298850575,0.5194827586206896,0.5184137931034483,0.5197701149425288,0.5205977011494254,0.5212413793103449,0.5221034482758619,0.523712643678161,0.5231264367816092,0.5238965517241378,0.5240459770114942,0.5254827586206896,0.5257586206896552,0.5265172413793103,0.5280344827586207,0.5277471264367816,0.5282758620689655,0.5292758620689656,0.5297011494252875,0.5288275862068965,0.5295172413793102,0.5291954022988506,0.5298390804597702,0.5293908045977012,0.531103448275862,0.5305747126436782,0.5297241379310345,0.5311264367816093,0.531655172413793,0.5312068965517243,0.5309540229885058
strongly entanglement,0.5135977011494253,0.5166436781609195,0.517632183908046,0.5187471264367816,0.5195977011494253,0.5202298850574713,0.520816091954023,0.5218045977011493,0.5225977011494253,0.5224827586206898,0.5236666666666667,0.5239885057471265,0.5247011494252873,0.5255862068965517,0.5257011494252875,0.5261264367816092,0.5267586206896552,0.5270459770114942,0.527712643678161,0.5281609195402298,0.5288735632183909,0.5295977011494253,0.529206896551724,0.5298045977011494,0.5303908045977012,0.5305977011494251,0.531287356321839,0.5316666666666667,0.5318620689655172,0.5323793103448274,0.532816091954023,0.5326091954022989,0.5327471264367817,0.5328620689655174,0.5331494252873564,0.5334942528735632,0.5340804597701149,0.534229885057471,0.5347816091954023,0.5339885057471265,0.5341609195402298,0.5342643678160921,0.534390804597701,0.5343103448275863,0.5346781609195403,0.5345172413793104,0.5344597701149426,0.5349080459770114,0.5349425287356322,0.5354597701149426,0.5355172413793104
Cn,0.5357701149425288,0.5967356321839079,0.613080459770115,0.6324252873563219,0.6344022988505746,0.6482988505747128,0.6507816091954023,0.6636551724137932,0.6622758620689654,0.6679770114942529,0.6723793103448276,0.673425287356322,0.6746206896551725,0.6759540229885058,0.678632183908046,0.6801264367816092,0.6848160919540229,0.6823333333333333,0.6798965517241379,0.68283908045977,0.683919540229885,0.6867241379310342,0.6890689655172414,0.6897586206896551,0.691816091954023,0.6923333333333335,0.6951954022988507,0.6957586206896552,0.6941264367816091,0.6898160919540233,0.6955287356321839,0.6956091954022987,0.6991724137931037,0.6975057471264369,0.6982413793103449,0.700632183908046,0.695735632183908,0.7011954022988507,0.6992183908045979,0.6971609195402301,0.6999310344827586,0.701126436781609,0.7065057471264369,0.7027011494252874,0.7025862068965516,0.705264367816092,0.7037586206896551,0.7032183908045977,0.7048160919540228,0.7037586206896552,0.7005862068965519
Cn2,0.47006896551724137,0.5896206896551724,0.6398965517241378,0.6649540229885057,0.6749080459770116,0.6841609195402298,0.6934137931034481,0.6981379310344826,0.7023103448275861,0.7058850574712643,0.7057471264367818,0.7117586206896552,0.7102873563218393,0.7119540229885057,0.7131264367816093,0.7142643678160923,0.7197011494252873,0.7212758620689655,0.718712643678161,0.7213333333333336,0.7197586206896552,0.7212528735632181,0.719712643678161,0.7211839080459768,0.7222183908045977,0.7254367816091954,0.7235287356321838,0.7219540229885058,0.7246436781609196,0.7255287356321839,0.7241609195402298,0.7287126436781609,0.7275402298850575,0.7260000000000002,0.7251494252873563,0.727367816091954,0.7263793103448275,0.7279999999999998,0.7286551724137931,0.7297586206896551,0.728632183908046,0.7311954022988504,0.7300919540229885,0.7257471264367815,0.7311954022988504,0.7297011494252874,0.7308160919540231,0.729609195402299,0.7310574712643678,0.7314137931034482,0.7286206896551725
