,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Sn,0.49714942528735645,0.5192528735632184,0.5206781609195402,0.5246896551724138,0.5265057471264368,0.5292988505747126,0.5316206896551724,0.5325977011494254,0.5257241379310343,0.5334137931034484,0.5323333333333333,0.5315977011494254,0.5336436781609195,0.5235402298850574,0.5338275862068966,0.530896551724138,0.5340114942528733,0.5291724137931034,0.534551724137931,0.5337471264367816,0.5341264367816092,0.5297816091954023,0.5355517241379311,0.5303448275862068,0.5276551724137931,0.5336436781609195,0.5316551724137931,0.5314137931034483,0.5288275862068965,0.5305287356321841,0.5326436781609195,0.5356551724137931,0.5296551724137931,0.5309655172413793,0.5335172413793104,0.5257816091954023,0.5349195402298851,0.5324712643678161,0.5273678160919542,0.5305287356321838,0.5292298850574711,0.5337241379310345,0.532,0.5366091954022989,0.532528735632184,0.5293448275862068,0.5322183908045978,0.5278620689655172,0.5331149425287356,0.5356436781609196,0.5402413793103448
entanglement,0.512448275862069,0.5152988505747127,0.5213563218390804,0.5242298850574711,0.5273563218390804,0.529471264367816,0.5319655172413793,0.5343793103448274,0.5369885057471265,0.5383563218390804,0.5402068965517244,0.5410919540229885,0.5429655172413793,0.5428275862068965,0.5441724137931035,0.5434252873563218,0.5429540229885057,0.5428045977011494,0.5439540229885057,0.5451609195402299,0.5452758620689654,0.544632183908046,0.5451494252873563,0.5454827586206896,0.5444827586206897,0.5450459770114943,0.5443563218390804,0.5449540229885058,0.5436666666666666,0.5442528735632184,0.5435862068965517,0.5455747126436781,0.544632183908046,0.5447126436781609,0.5441379310344828,0.545183908045977,0.544632183908046,0.5458505747126436,0.5460459770114944,0.5452873563218391,0.5457931034482759,0.5460229885057472,0.5458620689655173,0.5462183908045977,0.5451149425287356,0.546,0.545471264367816,0.5453908045977012,0.5466436781609195,0.5467816091954023,0.5469655172413793
strongly entanglement,0.5337356321839081,0.5370804597701149,0.5408965517241381,0.5442298850574715,0.5467701149425288,0.5496091954022988,0.5532068965517242,0.5570804597701148,0.560287356321839,0.5635172413793104,0.5660000000000001,0.5689310344827587,0.5717816091954023,0.5741494252873564,0.5759540229885054,0.5773793103448276,0.5792298850574713,0.5807471264367816,0.5817011494252874,0.582816091954023,0.5841494252873561,0.5848620689655174,0.5860689655172414,0.5862528735632183,0.5871839080459771,0.5874252873563218,0.5880229885057472,0.5885172413793104,0.5891149425287355,0.5897241379310344,0.5901839080459771,0.5900574712643678,0.5904137931034482,0.5905747126436781,0.5907931034482758,0.5906091954022988,0.5913103448275862,0.5918620689655171,0.5919655172413792,0.5918850574712643,0.5920000000000001,0.5923218390804599,0.592655172413793,0.5925517241379308,0.5925057471264368,0.5924712643678162,0.5923448275862068,0.5927241379310344,0.5926781609195403,0.5930574712643677,0.5933908045977013
Cn,0.45849425287356343,0.5774252873563218,0.6304597701149425,0.6540689655172414,0.6735632183908045,0.6820689655172415,0.6943793103448276,0.7018275862068967,0.7045172413793103,0.7067126436781609,0.7072758620689654,0.7181954022988505,0.7223908045977013,0.7272183908045978,0.7246551724137932,0.7253448275862068,0.7292528735632184,0.7326781609195402,0.7353908045977011,0.7390114942528734,0.7402068965517241,0.7408275862068966,0.7428965517241379,0.7459425287356322,0.7461494252873565,0.7470459770114944,0.7492643678160922,0.7509885057471265,0.7485402298850574,0.7496551724137928,0.7484252873563215,0.7499770114942531,0.7484482758620689,0.7505632183908045,0.750528735632184,0.7525632183908045,0.750425287356322,0.7535402298850574,0.7532298850574715,0.7552873563218391,0.7530689655172413,0.7521724137931037,0.7597701149425287,0.7558505747126437,0.755574712643678,0.7548390804597702,0.7534942528735631,0.7536666666666668,0.7577931034482758,0.7571954022988506,0.7587241379310344
Cn2,0.5293563218390804,0.665367816091954,0.7135977011494252,0.7335402298850576,0.7440344827586206,0.7569195402298852,0.7624942528735631,0.7688735632183908,0.7702413793103448,0.7711839080459769,0.7769310344827587,0.7763333333333333,0.7797701149425288,0.7832068965517242,0.7815977011494254,0.7841954022988505,0.7830689655172413,0.7869310344827586,0.7869885057471264,0.7878390804597702,0.7879655172413794,0.7874827586206894,0.7913793103448276,0.791022988505747,0.7878045977011493,0.7931264367816092,0.7935632183908047,0.7941839080459768,0.793862068965517,0.7925862068965517,0.7937011494252874,0.7934827586206894,0.7924597701149424,0.7942068965517239,0.7955287356321838,0.7946091954022988,0.7938965517241381,0.796126436781609,0.7967816091954024,0.7935172413793103,0.7959655172413793,0.7966091954022988,0.7936321839080461,0.7964367816091953,0.7949540229885058,0.7967471264367815,0.7941034482758619,0.7964367816091954,0.7956206896551724,0.7949655172413793,0.7949195402298853
