,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Sn,0.0017603852615242868,0.06167956716087262,0.06691856492890648,0.06340936775543403,0.07069198108499458,0.06506968428478138,0.07035584111063926,0.06948882397492721,0.08132923405717403,0.07265960923086302,0.07368843599340703,0.06112954045368527,0.05841035513050004,0.06351536204324283,0.06422162071746773,0.06175390557697364,0.06463534408597946,0.061258695905308205,0.06456695795619667,0.0679763973244327,0.060619374361872445,0.0626778236583248,0.06949584315350328,0.06854699059337407,0.06052258875415491,0.06691609699856582,0.061144170545979655,0.07075019274940866,0.08065970233593837,0.06496843039567515,0.06923309776305459,0.05791567142576397,0.07052573837087636,0.06354151590594384,0.06845745906723484,0.06359825373536086,0.07337980097349878,0.07867061750694831,0.07107321508484774,0.06362897079290497,0.06964398074044599,0.060122792393129176,0.07014790632695857,0.06523101928225505,0.07494746475529465,0.06697923554692939,0.06432313823012446,0.06457977826380684,0.07266963471231863,0.06205775654429833,0.07834087549391859
entanglement,0.0017008387414339178,0.004071043043887756,0.0038413683044615623,0.006422150859901001,0.0054001463063027754,0.006081057268081588,0.006529504568608629,0.008122794221761646,0.008007593172807399,0.008868030256425663,0.009410838378170682,0.009493758858317177,0.009635612370938369,0.009705594939375407,0.010143767704987216,0.01086890255150286,0.009497682439773404,0.0099939471706731,0.009689055216560733,0.00970559493937541,0.009963627868463814,0.010149399252775086,0.011040760905572837,0.009537605233753738,0.01035726583014479,0.01057098884959635,0.01112630022714721,0.011965047966329695,0.013028425075774886,0.012333949272790131,0.012207329472592458,0.012387290781920034,0.013401253877757209,0.013471538971741208,0.013322052302598782,0.012558569351499696,0.013246825987068325,0.013007051148303389,0.012715516916682898,0.012901263302272255,0.013283318799533138,0.013831536493476747,0.013817531051334903,0.01450739102111961,0.015170933400435672,0.014324832254887471,0.014676882724569535,0.014187880179295,0.013461158973075142,0.013644196215556598,0.01270978018507869
strongly entanglement,0.0018563841133997668,0.0022805304494052624,0.0027817279351497093,0.0029525690773337687,0.0034597510214465425,0.0037806308345566396,0.004129957195834349,0.004690105905767935,0.004851078581445135,0.005086138709848795,0.00534866998209414,0.005356383503172259,0.005474028568612224,0.0049052860419540115,0.004885314394866424,0.005211613909359552,0.005454625525381466,0.005175592892753257,0.006133979958676017,0.0057852642636338795,0.005984919613695898,0.006255672547984953,0.006674994798166932,0.00692373951319742,0.007223513812778966,0.007492815954199303,0.0077554186666275865,0.008160636226262423,0.007754013106099993,0.007915368502363435,0.008470851063702347,0.008372677632861753,0.008548540997002602,0.008428948099978812,0.008762963897355142,0.008968876470588109,0.008832501325619094,0.008778208404507794,0.008914858351757097,0.008502049522480197,0.00825175287751591,0.008072665098109378,0.0080286266129394,0.008084219461830675,0.007986479524724095,0.008162894370092728,0.008084636189547868,0.008497510768384984,0.008251440659392534,0.008125623851777699,0.007955982749734355
Cn,0.00153735363626364,0.009683210520941161,0.012309421818429556,0.01423425276032665,0.014810508743556534,0.018262573785431536,0.019431982115075044,0.018294445839645793,0.01801256515972228,0.02025163407690955,0.018785294873243267,0.018165865760307397,0.01680857540545264,0.016866659773560083,0.01759176908508273,0.017514525991006866,0.01643027360912338,0.01473285250021093,0.01613812751624176,0.014559117259046425,0.01433701986898748,0.01395972634301755,0.015216393937818118,0.01487400734826966,0.013760925108777595,0.015399129027055862,0.014953581235137162,0.014463844609867785,0.015112630390001472,0.015548712233084757,0.015995362817249153,0.015465426474530425,0.01589620265405755,0.0158136901744933,0.013688825167615624,0.014685090039477626,0.014426088726195156,0.015347083221360205,0.015084051296463261,0.013516772217989916,0.013308245323072182,0.014738756460443469,0.013845570708598317,0.013760517062676475,0.014895509577566426,0.01470091576387241,0.012944284399408212,0.015687292988782155,0.013905485657753526,0.014818227466191557,0.012755663942368847
Cn2,0.001515368052843711,0.010530743170552496,0.01488185737579912,0.015477018963594753,0.01399747537775009,0.015809842389974207,0.015929263804999566,0.01812771954440396,0.01677871176372779,0.01598575796314423,0.016838448852459748,0.017298178472451683,0.017638300876636932,0.017497292318319358,0.018325101744430184,0.018300987572323544,0.018447026133056054,0.018735434735578992,0.02086109050617007,0.02015838985951263,0.020340541142055312,0.02164347977274617,0.020761271326806986,0.020909824698592813,0.020775126773525863,0.021175658393294015,0.02098986852092764,0.021741633774538537,0.019945774686977048,0.02241551422805358,0.021954531497992393,0.021252251907134995,0.022793587442186618,0.020491335588294374,0.021302919387304272,0.02028506385406471,0.02189152806884574,0.019968610590242453,0.02104972753263197,0.019752548330371583,0.020256412205373567,0.019599504416986293,0.01936276410116087,0.01884574160077079,0.019726093732575646,0.019250046112505755,0.019122309042874312,0.019092092424086774,0.01835375578549192,0.01995093731107475,0.020250645695304645
