,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Sn,0.0011349083271721449,0.0547370816184866,0.0594308185691452,0.03559192386285799,0.039053048195902273,0.03062497812639932,0.036975139209206906,0.03582437047435358,0.030521232719483513,0.025337121877051297,0.03357113746916701,0.035651829956644544,0.032292184447282726,0.031219702713111242,0.0329985987203338,0.03298259589018786,0.029824421243729977,0.028939116320794222,0.03532059537516644,0.0341309737869799,0.027735708399321764,0.028767451348726308,0.027261375366394957,0.039479338639547126,0.03339421511061078,0.036904079512806456,0.023512038615062156,0.02731901251826127,0.037918334690414335,0.023577985280336673,0.02720552468509779,0.030836878351338973,0.03613392573808728,0.029548288180371387,0.03367133625096209,0.031066362935886285,0.030987893936455093,0.028763905630882106,0.03703651078588565,0.032651901182205685,0.02501258502100922,0.033203482714435496,0.036751800061609635,0.026720627627568994,0.02832970530034764,0.024294644532069674,0.031149561012555806,0.028293200926283343,0.03427493696570675,0.029256296798551077,0.03306342567830632
entanglement,0.0015148448506001825,0.00635860780743536,0.008598868935383032,0.008728066899572237,0.014470419848820432,0.016411156779813894,0.01827666086593797,0.0162646277547158,0.016735209827940696,0.01834969903343155,0.021398091491087685,0.02221397819071892,0.02206184032487499,0.02297679011813108,0.023681720522527948,0.026037017460534724,0.024577862877771244,0.026095875445863757,0.024961632601396434,0.026084978053726945,0.022885458698573228,0.023463720403812092,0.025011599898357006,0.022837504067215447,0.021925807830402093,0.021875133580174597,0.020688342870259085,0.018468231409902176,0.01697919035971687,0.016776999051853394,0.0170526412903362,0.016579562317591053,0.01786137737385079,0.01928326302926675,0.018117159558596954,0.017694658460584337,0.016840143546529632,0.017731221656431772,0.016617859570503685,0.017407187397003063,0.015532032116478743,0.016448368233513325,0.016576390464603106,0.016473975280438355,0.016504482389991932,0.016526417435310522,0.016333652839700574,0.01674904729475893,0.016250146091195697,0.016813149387820386,0.016848947719041725
strongly entanglement,0.0014215746973554276,0.0023958004831537865,0.003550142861179903,0.00333222335859413,0.004505336598703578,0.005165269651182594,0.00613669323263088,0.006907280926136929,0.007667588564055445,0.008045517228242273,0.008570613176775725,0.008726886123867189,0.00911455841256998,0.009702817582784283,0.00981991365482079,0.01008433849806647,0.010054738545002048,0.009771257539678549,0.00966991212073703,0.00999156732572629,0.010011646012811787,0.010622679815527022,0.010932696248948217,0.011400775065033892,0.011371464844501645,0.011234043160115833,0.012041901784998537,0.01264853093915446,0.012968680831943106,0.013022009479183357,0.013639281166973235,0.013900639236088589,0.01390692500469723,0.014269734187429403,0.014798260227037716,0.014907669329426169,0.015139484468073654,0.01510799630608662,0.015216845426276,0.015424139601337185,0.015398198115969774,0.015471285716710866,0.015504805574541926,0.01562748830761354,0.016080685709881488,0.016167164144006266,0.016099706671084606,0.016251999683866654,0.016481576289373193,0.016659249241249487,0.016773876347807512
Cn,0.0018791961018388556,0.02175470998488883,0.025132451352365016,0.031327701655288635,0.03513177729156172,0.036986371497830184,0.038411062175499985,0.03749079245749586,0.03968539411435097,0.03706607134741227,0.03389963659602146,0.034790938952756464,0.03575975679592696,0.03528343233264982,0.034795060871693706,0.03354655546064126,0.03638713757927163,0.03290317772253895,0.035701978363714,0.030559673511532437,0.032163170658935,0.03163087239997017,0.03780679059701312,0.035048050364096105,0.034280024724682605,0.038869690257526866,0.03897148599726452,0.036088595275299624,0.03769893461394573,0.03737983521708094,0.0378939927109529,0.0399609483700777,0.03626844066969852,0.03672392027708782,0.038150954245160844,0.03790951845351937,0.039191237517633475,0.04073392130757635,0.03913197416142429,0.03413170150986879,0.0351475552602392,0.03900682718511989,0.038395890639766055,0.040512739621110225,0.03695381562659684,0.03720745581376365,0.03515673905100165,0.03514618697636214,0.042337858387896325,0.03166003017843986,0.03622588263381251
Cn2,0.001571142862054411,0.017830728137134037,0.02274863649567753,0.022367485319641448,0.023981716733416595,0.02392118339316258,0.02773571554450605,0.02804509137474853,0.025184681837055575,0.028272320122053923,0.02831418765132314,0.027114901112362567,0.030285469635231935,0.027580241213180062,0.030186982798981604,0.029805111901624486,0.02794276514460483,0.029607243189016,0.028239021416452417,0.028028834029603454,0.0306419212058086,0.02768043294604202,0.029031172170447588,0.03309625560428916,0.030303483241669565,0.029855292427464996,0.029629831906871098,0.03233724555563618,0.03060374561401074,0.028481227867914162,0.030028207111886314,0.03142558164817761,0.030740688981274737,0.02968001276308004,0.027142798981140203,0.0335767745415107,0.03031826597859347,0.03109497085242859,0.029570144520355054,0.02998347190803948,0.029072289979563588,0.029728869044145335,0.028622406817342246,0.030636183991915034,0.03051713531163246,0.029583143390055265,0.03198891876109233,0.030724625992141593,0.030261894682663992,0.031693980335127034,0.02942610451451558
