,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Sn,0.45940229885057465,0.8463103448275862,0.8511724137931037,0.87348275862069,0.8641494252873564,0.8825172413793102,0.8772528735632186,0.877183908045977,0.873896551724138,0.8839885057471264,0.8791149425287356,0.889977011494253,0.8842988505747124,0.8997816091954022,0.8857586206896552,0.8808390804597702,0.8927241379310347,0.8944827586206897,0.8929425287356323,0.8894712643678162,0.8915977011494253,0.8952988505747125,0.8918275862068968,0.8953333333333333,0.8909655172413793,0.8954942528735632,0.8929655172413794,0.8957586206896552,0.8963218390804596,0.8954137931034484,0.9013563218390807,0.9070229885057473,0.891287356321839,0.9084252873563217,0.8921034482758622,0.8945632183908047,0.8894597701149426,0.8898505747126436,0.887896551724138,0.8998045977011493,0.899425287356322,0.9058160919540229,0.8979080459770115,0.899942528735632,0.8972413793103446,0.9035172413793103,0.9023793103448274,0.9095172413793102,0.8948390804597699,0.9051609195402303,0.8930919540229885
entanglement,0.4969885057471265,0.49602298850574716,0.4966781609195402,0.49783908045977004,0.500183908045977,0.5014712643678161,0.5014942528735632,0.502103448275862,0.502390804597701,0.5024942528735632,0.5025287356321839,0.503735632183908,0.5023448275862069,0.502655172413793,0.5019540229885059,0.5010229885057471,0.5017126436781608,0.5018850574712644,0.5018735632183907,0.5009310344827587,0.5016551724137931,0.5012068965517241,0.5021954022988505,0.5014137931034484,0.5011609195402299,0.5019080459770116,0.5019885057471264,0.5017471264367817,0.5009540229885058,0.5006436781609195,0.5001609195402299,0.500632183908046,0.4999540229885057,0.4996551724137931,0.49983908045977016,0.5000574712643678,0.4994482758620689,0.4995287356321841,0.49966666666666654,0.5009885057471265,0.4998160919540231,0.5004367816091954,0.49925287356321835,0.4983333333333333,0.49804597701149433,0.4993678160919541,0.49925287356321857,0.498609195402299,0.4978850574712644,0.4977931034482758,0.49833333333333335
strongly entanglement,0.5180919540229885,0.5178735632183908,0.5176896551724137,0.5174252873563218,0.5175862068965517,0.5172988505747127,0.5171609195402298,0.5166436781609195,0.516287356321839,0.5165862068965515,0.5165747126436782,0.5165172413793103,0.5166091954022988,0.5166206896551724,0.5165057471264366,0.5165862068965518,0.5164367816091954,0.5161034482758621,0.5160804597701151,0.5157586206896552,0.516,0.5160114942528735,0.5156666666666667,0.5157931034482758,0.5161379310344827,0.5165172413793104,0.5158735632183907,0.516264367816092,0.516367816091954,0.5162873563218391,0.5157701149425288,0.5160919540229887,0.5159080459770115,0.516,0.5158620689655172,0.5156551724137931,0.5148620689655172,0.5147816091954023,0.5149885057471264,0.5145287356321839,0.5147816091954023,0.5144597701149426,0.5144712643678161,0.5143563218390806,0.514367816091954,0.5146436781609196,0.5149425287356322,0.5151724137931034,0.5152298850574714,0.5152758620689654,0.5151724137931034
Cn,0.5187241379310346,0.5369655172413792,0.5526321839080458,0.5649999999999998,0.5738965517241379,0.5822413793103448,0.584816091954023,0.5891494252873563,0.5935977011494252,0.5957011494252872,0.5970574712643677,0.5990804597701147,0.6020919540229885,0.6039885057471264,0.6069770114942529,0.6074482758620691,0.6091149425287357,0.610735632183908,0.610758620689655,0.6122413793103447,0.6123103448275861,0.6138275862068967,0.6142758620689655,0.6148045977011496,0.6143793103448274,0.617896551724138,0.6176206896551726,0.6186436781609196,0.6184137931034482,0.6191954022988505,0.6201954022988506,0.6198735632183908,0.621206896551724,0.622609195402299,0.6207011494252874,0.6228850574712642,0.6225287356321839,0.6227471264367814,0.6231494252873563,0.623793103448276,0.6234137931034482,0.6249080459770117,0.624574712643678,0.6253563218390805,0.6274367816091956,0.6266551724137932,0.6265517241379309,0.6257931034482759,0.6274367816091952,0.6279310344827586,0.6267701149425287
Cn2,0.5049770114942528,0.5446896551724137,0.5673103448275862,0.5815632183908046,0.5910229885057472,0.5985057471264367,0.6042643678160918,0.610264367816092,0.6137241379310345,0.6189425287356322,0.6208735632183907,0.6243563218390805,0.627367816091954,0.6288390804597702,0.6307241379310345,0.6321609195402298,0.6344597701149425,0.6355632183908045,0.6374482758620689,0.6385517241379309,0.6389655172413794,0.6396091954022989,0.6422873563218391,0.6431724137931035,0.6431609195402299,0.6449885057471264,0.6465632183908047,0.6468735632183908,0.6494827586206898,0.6500459770114944,0.6502183908045976,0.6507701149425287,0.6531264367816092,0.6528045977011492,0.6528390804597701,0.6536436781609195,0.6562068965517242,0.6553333333333333,0.6561149425287357,0.6554597701149425,0.6559655172413793,0.6571264367816094,0.6587816091954022,0.6581954022988507,0.6587356321839083,0.65916091954023,0.6599655172413793,0.659574712643678,0.6612873563218392,0.6607356321839081,0.6612988505747128
